date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:39:38	232221/232221	---M--	200	added ('OK')	image/jpeg	etag:%2238b1d-5bb3f3fed23c8%22	https://preview.colorlib.com/theme/academia/images/author-1.jpg	C:/Umidjon/preview.colorlib.com/theme/academia/images/author-1.jpg	(from https://preview.colorlib.com/theme/academia/)
21:39:39	35096/35096	---M--	200	added ('OK')	image/jpeg	etag:%228918-5bb3f3f9f13a1%22	https://preview.colorlib.com/theme/academia/images/person_3.jpg	C:/Umidjon/preview.colorlib.com/theme/academia/images/person_3.jpg	(from https://preview.colorlib.com/theme/academia/)
21:39:39	47939/47939	---M--	200	added ('OK')	image/jpeg	etag:%22bb43-5bb3f3fbfe9c9%22	https://preview.colorlib.com/theme/academia/images/person_2.jpg	C:/Umidjon/preview.colorlib.com/theme/academia/images/person_2.jpg	(from https://preview.colorlib.com/theme/academia/)
21:39:39	21685/21685	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:18%20GMT	https://preview.colorlib.com/theme/academia/blog-single.html	C:/Umidjon/preview.colorlib.com/theme/academia/blog-single.html	(from https://preview.colorlib.com/theme/academia/)
21:39:39	289681/289681	---M--	200	added ('OK')	image/jpeg	etag:%2246b91-5bb3f3f559758%22	https://preview.colorlib.com/theme/academia/images/image_2.jpg	C:/Umidjon/preview.colorlib.com/theme/academia/images/image_2.jpg	(from https://preview.colorlib.com/theme/academia/)
21:39:40	508668/508668	---M--	200	added ('OK')	image/jpeg	etag:%227c2fc-5bb3f3f9743a7%22	https://preview.colorlib.com/theme/academia/images/image_1.jpg	C:/Umidjon/preview.colorlib.com/theme/academia/images/image_1.jpg	(from https://preview.colorlib.com/theme/academia/)
21:39:40	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265660ffd-4d7%22	https://preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Umidjon/preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://preview.colorlib.com/theme/academia/)
21:39:40	492822/492822	---M--	200	added ('OK')	image/jpeg	etag:%2278516-5bb3f3f78135e%22	https://preview.colorlib.com/theme/academia/images/image_3.jpg	C:/Umidjon/preview.colorlib.com/theme/academia/images/image_3.jpg	(from https://preview.colorlib.com/theme/academia/)
21:39:40	369081/369081	---M--	200	added ('OK')	image/jpeg	etag:%225a1b9-5bb3f3fb0a795%22	https://preview.colorlib.com/theme/academia/images/image_4.jpg	C:/Umidjon/preview.colorlib.com/theme/academia/images/image_4.jpg	(from https://preview.colorlib.com/theme/academia/)
21:39:40	80821/80821	---M-Z	200	added ('OK')	application/javascript	etag:%2213bb5-5bb3f40c4782a-gzip%22	https://preview.colorlib.com/theme/academia/js/bootstrap.bundle.min.js	C:/Umidjon/preview.colorlib.com/theme/academia/js/bootstrap.bundle.min.js	(from https://preview.colorlib.com/theme/academia/)
